Title,Bank Name,Banking,Technology,Finance,Marketing,Analytics,Management,Cyber Security,Data Science,Assigned Cluster,Assigned Category
JOB_TITLE/JOB_ROLE, BANK NAME,0,0,0,0,0,0,0,0,banking,Finance
Decision Engine Analyst ,Huntington Bancshares,11,20,13,17,7,7,4,16,technology,FinTech
Branch Service Manager ,Huntington Bancshares,16,16,11,11,0,9,0,4,banking,Finance
Consumer Bank Sales| Strategy & Services Director ,Huntington Bancshares,9,11,12,11,2,3,2,10,finance,Finance
Branch Manager ,Huntington Bancshares,27,17,26,19,1,14,0,9,banking,Finance
Relationship Banker III - Registered ,Huntington Bancshares,24,14,24,17,0,10,0,9,banking,Finance
Practice Finance Financial Pulse Specialist ,Huntington Bancshares,22,9,22,15,0,7,2,10,banking,Finance
Branch Relationship Banker 1 ,Huntington Bancshares,31,12,28,20,0,14,0,4,banking,Finance
Commerical Credit Analyst ,Huntington Bancshares,12,3,12,9,1,2,0,4,banking,Finance
Branch Relationship Banker I ,Huntington Bancshares,31,12,28,20,0,14,0,4,banking,Finance
Senior IT Internal Auditor: Robotic Process Automation ,Huntington Bancshares,26,22,19,15,4,2,2,16,banking,Finance
Commercial Relationship Manager ,Huntington Bancshares,39,15,37,24,3,3,2,16,banking,Finance
Wealth and Investment Account Administrator ,Huntington Bancshares,4,3,2,2,2,1,0,4,banking,Finance
Relationship Banker III- (Licensed) ,Huntington Bancshares,24,14,24,17,0,10,0,9,banking,Finance
Information Security Manager ,Huntington Bancshares,3,13,1,3,5,2,4,10,technology,FinTech
Credit Card Risk Analyst ,Huntington Bancshares,10,8,8,8,3,1,1,6,banking,Finance
Collector ,Huntington Bancshares,15,6,11,11,9,9,2,9,banking,Finance
Community Development Banker ,Huntington Bancshares,24,21,21,20,1,3,1,12,banking,Finance
Senior Data Architect ,Huntington Bancshares,11,33,11,7,17,0,3,23,technology,FinTech
Treasury Management Service Specialist I ,Huntington Bancshares,6,5,6,8,1,2,1,3,marketing,Finance
Mortgage Loan Officer - Newcomerstown| OH ,Huntington Bancshares,11,7,11,9,1,4,4,5,banking,Finance
IT Service Delivery Manager Sr ,Huntington Bancshares,9,27,10,13,1,6,3,8,technology,FinTech
Commercial Relationship Manager III ,Huntington Bancshares,37,14,35,22,3,2,1,16,banking,Finance
Enterprise Data Services Stewardship Management Lead ,Huntington Bancshares,3,13,1,6,16,4,0,21,data science,FinTech
Teller ,Huntington Bancshares,20,17,16,11,0,9,0,5,banking,Finance
Employee Relations Consultant Sr. ,Huntington Bancshares,0,7,0,1,0,0,2,3,technology,FinTech
IT Project Assurance - Audit ,Huntington Bancshares,15,6,12,26,2,5,2,7,marketing,Finance
Branch Relationship Banker II ,Huntington Bancshares,31,14,29,22,0,14,0,6,banking,Finance
Senior Digital Product Manager ,Huntington Bancshares,18,18,25,33,5,13,5,12,marketing,Finance
Enterprise Data Management Master Data & Metadata Lead ,Huntington Bancshares,12,16,9,10,35,7,1,40,data science,FinTech
HFA Financial Advisor ,Huntington Bancshares,11,2,11,12,0,7,0,3,marketing,Finance
Computer Operator Senior ,Huntington Bancshares,3,11,2,4,2,2,2,11,technology,FinTech
Internal Auditor - Operations| Treasury Management| and Auto Finance ,Huntington Bancshares,15,1,13,11,1,1,0,8,banking,Finance
SBA Business Development Officer| Sr. ,Huntington Bancshares,5,3,6,4,0,1,0,2,finance,Finance
Mainframe Engineer III - Storage ,Huntington Bancshares,5,22,3,5,1,1,0,13,technology,FinTech
Property and Casualty Insurance Sales Executive ,Huntington Bancshares,14,5,17,17,0,5,1,7,finance,Finance
Business Systems Analyst Lead ,Huntington Bancshares,14,12,12,4,16,1,1,20,data science,FinTech
Business Systems Analyst Sr ,Huntington Bancshares,14,12,12,4,15,1,1,19,data science,FinTech
IS Technical Specialist (Enterprise Payments Senior Java Developer) ,Huntington Bancshares,5,15,4,4,2,3,1,6,technology,FinTech
Business Analyst 3.3226 ,Huntington Bancshares,7,8,4,5,4,1,0,10,data science,FinTech
Employee Benefits Insurance Sales Executive ,Huntington Bancshares,14,5,17,17,0,5,1,7,finance,Finance
Senior Counsel (Digital) ,Huntington Bancshares,26,32,27,32,3,7,14,22,technology,FinTech
Auto Finance Administrative Support Specialist ,Huntington Bancshares,8,9,6,7,2,3,1,8,technology,FinTech
Segment Risk Manager (Internal Controls) - Technology ,Huntington Bancshares,10,10,8,2,1,0,1,6,banking,Finance
Segment Risk Manager Sr- Vendor Performance Lead (Technology) ,Huntington Bancshares,12,12,10,2,1,0,1,7,banking,Finance
Market and Liquidity Risk Specialist ,Huntington Bancshares,7,7,11,11,2,0,0,6,finance,Finance
Deposit Pricing Analyst ,Huntington Bancshares,10,6,9,5,1,4,0,7,banking,Finance
Segment Risk Specialist Sr ,Huntington Bancshares,9,8,8,5,5,1,1,11,data science,FinTech
Assistant Branch Manager ,Huntington Bancshares,32,17,31,23,1,17,0,8,banking,Finance
Senior Segment Risk Manager - Credit and Debit Card ,Huntington Bancshares,16,7,15,10,1,2,0,7,banking,Finance
Private Banking Loan Portfolio Manager ,Huntington Bancshares,10,6,9,6,0,0,0,5,banking,Finance
Treasury Management Customer Experience Support Associate ,Huntington Bancshares,4,8,4,6,2,2,3,8,technology,FinTech
Senior Auditor - Commercial Banking and Credit Administration ,Huntington Bancshares,17,3,15,14,1,1,0,11,banking,Finance
Enterprise Fraud Specialist 1 ,Huntington Bancshares,13,7,11,10,4,4,4,6,banking,Finance
Sr. Medical/RX Data Analyst ,Huntington Bancshares,5,10,5,6,5,2,1,10,technology,FinTech
Programmer/Analyst Senior ,Huntington Bancshares,7,21,5,5,0,3,0,6,technology,FinTech
Data Warehouse Director ,Huntington Bancshares,15,25,16,19,56,13,2,60,data science,FinTech
Enterprise Data Community of Practice Leader ,Huntington Bancshares,9,13,10,3,8,2,1,14,data science,FinTech
Information Governance Director ,Huntington Bancshares,36,36,34,20,59,6,3,73,data science,FinTech
Outbound Sales Team Lead ,Huntington Bancshares,6,7,4,12,1,6,1,4,marketing,Finance
Senior Business Data Analyst ,Huntington Bancshares,12,22,13,8,33,5,1,41,data science,FinTech
Enterprise Data Services Demand and Project Management Lead ,Huntington Bancshares,7,16,6,36,5,10,2,9,marketing,Finance
Senior COBOL Developer ,Huntington Bancshares,2,18,1,2,5,1,5,11,technology,FinTech
Wealth and Investment Relationship Manager ,Huntington Bancshares,6,4,3,2,3,2,0,3,banking,Finance
